test_id,workspace,persona,preconditions,route,control_id,action,expected,evidence_required,side_effect_class,cleanup,automation_layer,status,defect_ref,approval_ref
CTRL.CENSUS.0001,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/analytics,src/app/analytics/page.tsx:83:Link:1,Exercise Link and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0002,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/account,src/app/api/account/route.ts:19:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0003,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/directory-profiles/check,src/app/api/directory-profiles/check/route.ts:23:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0004,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/founder-why,src/app/api/founder-why/route.ts:16:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0005,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/keywords/decisions,src/app/api/keywords/decisions/route.ts:52:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0006,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/keywords/decisions,src/app/api/keywords/decisions/route.ts:57:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0007,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/keywords/decisions,src/app/api/keywords/decisions/route.ts:137:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,2,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0008,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/keywords/decisions,src/app/api/keywords/decisions/route.ts:145:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0009,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/notifications,src/app/api/notifications/route.ts:58:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
CTRL.CENSUS.0010,STG_DISPOSABLE,owner_jose,Authenticated workspace; seeded state matching the control,/api/onboarding,src/app/api/onboarding/route.ts:53:data-mutation:1,Exercise data-mutation and verify its documented behavior,Expected state transition occurs once; rendered and persisted data retain the selected website provenance,trace+network+database+cleanup,1,Restore disposable fixture,integration+e2e,NOT RUN,,
